status,distance,duration,distance_from_start,duration_from_start,location,stop_id,trip_id
travelling,0.22208148637783728,34.0,16.806176571325302,3315.0,"LINESTRING (36.7390738469176 -1.1903041809145913, 36.7390054464 -1.19026243687, 36.73753224631624 -1.1890303058391074)",,10114111
at_stop,0.0,20.0,16.806176571325302,3315.0,POINT (36.7375356 -1.189026296),0111CEP,10114111
travelling,0.3681965099078373,50.0,17.17437308123314,3385.0,"LINESTRING (36.73753224631624 -1.1890303058391074, 36.7375302315 -1.18902862072, 36.7350465059 -1.18683993816, 36.735043073693966 -1.1868369516949842)",,10114111
at_stop,0.0,20.0,17.17437308123314,3385.0,POINT (36.73504382 -1.186836094),0111TVI,10114111
travelling,0.36492500962616076,49.0,17.5392980908593,3454.0,"LINESTRING (36.735043073693966 -1.1868369516949842, 36.7325681448 -1.18468344212, 36.73256206975914 -1.184679307008141)",,10114111
at_stop,0.0,20.0,17.5392980908593,3454.0,POINT (36.73256814 -1.184670389),0111ARD,10114111
travelling,0.17137539225381698,28.0,17.71067348311312,3502.0,"LINESTRING (36.73256206975914 -1.184679307008141, 36.7312914133 -1.18381440639, 36.731286484051495 -1.1838111753007012)",,10114111
at_stop,0.0,20.0,17.71067348311312,3502.0,POINT (36.73128337 -1.183815926),0111NOI,10114111
travelling,0.3814766616709501,51.0,18.092150144784068,3573.0,"LINESTRING (36.731286484051495 -1.1838111753007012, 36.7305946782 -1.18335770121, 36.7284214497 -1.18192613125, 36.728417416230265 -1.1819236334592362)",,10114111
at_stop,0.0,20.0,18.092150144784068,3573.0,POINT (36.72843486 -1.181895465),0111AXM,10114111
travelling,0.15591574951394951,27.0,18.248065894298016,3620.0,"LINESTRING (36.728417416230265 -1.1819236334592362, 36.7272520065 -1.18120193481, 36.72722485943182 -1.181183784154028)",,10114111
at_stop,0.0,20.0,18.248065894298016,3620.0,POINT (36.727208 -1.181209),0111KAU,10114111
travelling,0.11971945078267973,23.0,18.367785345080694,3663.0,"LINESTRING (36.72722485943182 -1.181183784154028, 36.7263293266 -1.18058502674, 36.72632883645157 -1.1805847207874633)",,10114111
at_stop,0.0,20.0,18.367785345080694,3663.0,POINT (36.7263186 -1.18060112),0101IAI,10114111
travelling,0.11026269752844421,22.0,18.47804804260914,3705.0,"LINESTRING (36.72632883645157 -1.1805847207874633, 36.725487113 -1.18005931377, 36.7254868898553 -1.1800591627754176)",,10114111
at_stop,0.0,20.0,18.47804804260914,3705.0,POINT (36.725487 -1.180059),0101MCY,10114111
travelling,0.21328273197510358,33.0,18.69133077458424,3758.0,"LINESTRING (36.7254868898553 -1.1800591627754176, 36.723896519461235 -1.1789830121361706)",,10114111
at_stop,0.0,20.0,18.69133077458424,3758.0,POINT (36.72388852 -1.178994834),0111USA,10114111
travelling,0.17474298646347536,29.0,18.866073761047716,3807.0,"LINESTRING (36.723896519461235 -1.1789830121361706, 36.7238777876 -1.17897033691, 36.72256223252573 -1.178150112324211)",,10114111
at_stop,0.0,20.0,18.866073761047716,3807.0,POINT (36.72254205 -1.178182483),0111ISE,10114111
travelling,0.4803911183656183,62.0,19.346464879413332,3889.0,"LINESTRING (36.72256223252573 -1.178150112324211, 36.7225527763 -1.17814421654, 36.721081 -1.177324, 36.720413 -1.177061, 36.7194953713 -1.17680330998, 36.7191034555 -1.17669582367, 36.7185777426 -1.17654561996, 36.71857750820862 -1.1765455503825921)",,10114111
at_stop,0.0,20.0,19.346464879413332,3889.0,POINT (36.718575 -1.176554),0111FRM,10114111
travelling,0.8438609282425139,100.0,20.190325807655846,4009.0,"LINESTRING (36.71857750820862 -1.1765455503825921, 36.716423 -1.175906, 36.714985 -1.175241, 36.714104 -1.174683, 36.713455 -1.174175, 36.712062364904234 -1.1728884775167234)",,10114111
at_stop,0.0,20.0,20.190325807655846,4009.0,POINT (36.71205729 -1.172893971),0111IAC,10114111
travelling,0.46008966058908474,59.0,20.65041546824493,4088.0,"LINESTRING (36.712062364904234 -1.1728884775167234, 36.7120492458 -1.17287635803, 36.711212 -1.172109, 36.710175 -1.171392, 36.709435 -1.171061, 36.7085891962 -1.17080569267, 36.70855744431506 -1.1707971691739312)",,10114111
at_stop,0.0,20.0,20.65041546824493,4088.0,POINT (36.708554 -1.17081),0101RED,10114111
travelling,0.38055416810848774,51.0,21.03096963635342,4159.0,"LINESTRING (36.70855744431506 -1.1707971691739312, 36.70789 -1.170618, 36.7051666975 -1.17045164108, 36.70516650025486 -1.1704516265719338)",,10114111
at_stop,0.0,20.0,21.03096963635342,4159.0,POINT (36.70516402 -1.170485347),0111AMK,10114111
travelling,0.43865503577621634,57.0,21.469624672129633,4236.0,"LINESTRING (36.70516650025486 -1.1704516265719338, 36.70388 -1.170357, 36.702591 -1.170246, 36.701721 -1.170101, 36.70127213 -1.16995811462, 36.701267340255164 -1.1699564952300996)",,10114111
at_stop,0.0,20.0,21.469624672129633,4236.0,POINT (36.70123726 -1.170045465),0111EDH,10114111
travelling,0.12985142274720535,24.0,21.599476094876838,4280.0,"LINESTRING (36.701267340255164 -1.1699564952300996, 36.70016135111566 -1.1695825655733225)",,10114111
at_stop,0.0,20.0,21.599476094876838,4280.0,POINT (36.70015901 -1.16958949),0111GIE,10114111
travelling,0.19635164122186374,31.0,21.7958277360987,4331.0,"LINESTRING (36.70016135111566 -1.1695825655733225, 36.7001456022 -1.16957724094, 36.6984866029391 -1.169024241183063)",,10114111
at_stop,0.0,20.0,21.7958277360987,4331.0,POINT (36.69846654 -1.16908443),0111WRB,10114111
travelling,0.22877352351181135,35.0,22.024601259610513,4386.0,"LINESTRING (36.6984866029391 -1.169024241183063, 36.6984719038 -1.16901934147, 36.696568 -1.168372, 36.69654181871612 -1.16835634994033)",,10114111
at_stop,0.0,20.0,22.024601259610513,4386.0,POINT (36.69651657 -1.168398589),0111AKA,10114111
travelling,0.3882887875158094,52.0,22.41289004712632,4458.0,"LINESTRING (36.69654181871612 -1.16835634994033, 36.695141 -1.167519, 36.6936653852 -1.16642296314, 36.69364469498692 -1.1664077123684145)",,10114111
at_stop,0.0,20.0,22.41289004712632,4458.0,POINT (36.69361711 -1.166445136),0111HRT,10114111
travelling,0.2944827280275125,42.0,22.707372775153836,4520.0,"LINESTRING (36.69364469498692 -1.1664077123684145, 36.69150997483458 -1.1648342085421044)",,10114111
at_stop,0.0,20.0,22.707372775153836,4520.0,POINT (36.69146866 -1.164890259),0111RRY,10114111
travelling,2.1269067368617303,237.0,24.834279512015566,4777.0,"LINESTRING (36.69150997483458 -1.1648342085421044, 36.6914820671 -1.16481363773, 36.69016725 -1.1637395, 36.6870365 -1.161329, 36.680775 -1.156508, 36.679485 -1.155571, 36.678364 -1.155029, 36.677151 -1.15473, 36.6765904427 -1.15466415882, 36.6756945848 -1.15469634533, 36.67568154765356 -1.154697127558835)",,10114111
at_stop,0.0,20.0,24.834279512015566,4777.0,POINT (36.675681 -1.154688),0101BLU,10114111
